review,rating,sentiment
"Great lunch with my girls today. First time we've ever been. Diverse menu, friendly staff, and the food was so good. Can't wait to go back.",5.0,1
Oooo this is myyyy kind of restaurant!!! Each meal was amazing and they serve generous portion sizes. I love the variety of food items: from salads and burgers to shakshuka and the pork banh mi. They seem to have something for everyone. Our waitress was extremely friendly and gave great recommendations. Also love their selection of lattes. I got the London fog which was perfect. I would definitely go here again!,5.0,1
A menu that ranges from schnitzel to calamari means that the place is kinda promiscuous. A Main Street coffee shop vibe for the only place in town that is reliably open every day of the week. Very popular as a result so the place was jammed. Probably best to order a breakfast dish -- the banh mi (pulled pork) was tasty albeit lacking presentation.,3.0,0
"Stopped in for a late lunch. early dinner. We hit the restaurant at the perfect time. No waiting and super fast service. Order included, Appetizer: ""French Potato Cakes"" and the ""Crock of Beef Chili"". The potato cakes were extremely bland, salt and pepper were definitely needed. The chili was very good and had an herb in it, that I couldn't quite place. Next, I had the ""GB Burger"", as described: ""battered deep fried steak burger stuffed with crumbled blue cheese and bacon drizzled with sriracha served with lettuce, tomato, red onion, and house aioli on a brioche roll"". I was amazed at how good this burger was! Excellent flavor, cooked perfectly, plenty of blue cheese! If I hadn't had the potato cake and chili to start, I would've ordered a second ""GB Burger""! It was that good. I had a side of truffle and parmesan fries, which were just ok. Salt and pepper was called for again. The burger and chili were the reason for the five star review. Our server was very nice, but wasn't completely focused on our needs. Luckily, I don't ask for much.I would go again, just to get that ""GB Burger"".......",5.0,1
"""Baby blankets and baby shoes, baby slippers, baby spoons, walls of baby blueI eat for two, walk for two, breathe for two now""(Natalie Merchant and 10,000 Maniacs)GB Eats is a very cool and funky neighborhood breakfast and lunch joint. Its located inside a big commercial retail building at 284 Main and shares that address with a number of other restaurants. We walked in for a meal shortly after 12, and the place was pretty  crowded. Most of the main dining room was full, most of the counter seats were taken, as were most of the tables in the back of the dining room. We were offered a choice of two counter seats and a table in the back which we accepted.We ordered a waffle ($9 plus a $1 compote add on), Chili Rancheros ($13), and an iced coffee ($3).My Chili Rancheros was one of the best breakfast dishes I've had in a very long time. It included two sunny side up eggs, toasted corn tortillas, house-made beef chili, white cheddar, black beans & corn, avocado, salsa and sour cream, served with home fries or mixed greens. I knew it would be a filling dish, so I passed on the home fries and convinced myself I was going healthy with the mixed greens.The eggs, the chili, the corn tortillas, avocado, and salsa worked so well together, It was freaking delicious!Service was fine, and one odd thing that should be mentioned is the location of the restroom. You have to get a key on a wooden stick from the cashier, then leave the restaurant and walk down the hall toward the movie theater to find their two bathrooms on the left. Then you'll either return the key to the hostess, or pass it over to the next person in line, with the expectation that they will return it.Bottom line is that the food, atmosphere, menu, and pricing are all very good, and contributed to our very positive lunch experience.",5.0,1
"Our new favorite breakfast spot!!  Breakfast is served ALL DAY!  Located in the heart of downtown Great Barrington is this awesome restaurant.  The staff is super friendly and the service is quick!  The food is delicious, reasonably priced & exceptional portions!  Their omelettes are made with the freshest of ingredients & packed with flavor.  We're planning on going back soon the check out their lunch & dinner menu too!",5.0,1
"Out of Towners looking for a place to eat before skiing & stumbled upon GB Eats! So happy we did. The food was delicious, service was quick & the staff was so friendly.  They has great music playing and the diner was cozy & cute.  We will definitely be back.",5.0,1
"The service is absolutely amazing. The servers are friendly and talkative, but in a chill way. Not overbearing at all. Wonderful coffee and sweets and the food is to die for. Really good elevated American food. I recommend the schnitzel sandwich, kale Caesar, chili, and any egg dish. Other food is great as well that's just off the top of my head. You really can't go wrong. They do beer and seasonal cocktails that are so cool too!! Hurry over as fast as possible.",5.0,1
Great food and people. A very fun place to go.Seems like everyone there has a great sense of humor.Neil Jensen,5.0,1
"Stopped here for breakfast and the whole family was satisfied. Busy place on a Saturday morning. We sat right down but people after us had to wait a bit. The food was certainly above par. Fresh and delicious. The eggs Benedict sitting on fried potatoes was really superb.A little on the expensive side for breakfast, but when the food is clearly fresh, local, and well made it's hard to complain. We would definitely come back if we are in town again.",5.0,1
"Amazing, food was great service was awesome, loved the mimosas... did have to wait about 20 mins so make sure you go early we waited until mid morning and the place was packed.",5.0,1
"We were very impressed with the cinnamon apple cake and Harney & Sons tea selection at GB eats. The staff were clearly very busy and they were cheerfully polite both times we visited. Buyer beware: the restroom in the arcade passageway gets a lot of use and shows signs of wear and tear. We really recommend take out from here, especially a breakfast treat or dessert.",5.0,1
Stopped in on a Late Sunday dinner worth the wait a excellent meal on a busy night for both me and my girlfriend great service!,5.0,1
"Good all around food, breakfast is great, nice and friendly wait staff, they are awesome.",5.0,1
"Well reviewed. STopped in for a bite... the chili rancheros were tasty and interesting. Large menu, casual vibe.   A good spot right on Main Street.",4.0,1
We had breakfast here the morning after a show at Tanglewood. Very neat place with friendly staff. It was pretty busy so it took a little bit of time but overall not bad. My omelette was runny and no American cheese so I had to rough it with mozzarella. There are lots of options in the area so maybe next time we will try something else.,3.0,0
"Good service !! Ambience is good  !! And the food is properly prepared!! I recommend this place so far , is an easy spot to eat good",5.0,1
"Super chill spot with all kinds of options for breakfast, lunch, dinner, or just a cafe break with some coffee and a pastry. I went all in and got the burger named after the restaurant. Deep-fried steak patty??? It's a miracle I made it home after dinner, but it was worth it in the end. Everything came to the table hot and fresh.",5.0,1
"Food here was fine, however the service was the worst experience I've ever had in a restaurant (seriously, not an exaggeration). So bad this is the first time I've written a yelp review because I felt it necessary to warn others. Stopped here on a road trip because the food looked good and reviews looked decent, I recommend you steer clear! Especially if you are a young adult or you have a family, this restaurant does not care about you or your children and will treat you like garbage. I went with my partner, we are both young adults. We received horrible service the entire time, our waitress was never available and it took ages for them to come take our orders or bring over a glass of water. The waitress was very snappy with us, I don't expect servers to be peppy all the time but at least being polite would've been nice. I do not ever expect food to come out quickly, even though the food was the one thing that did because a different waitress dropped it off. Hostess was incredibly rude and snarky, as was the waitress we had. I wish I had gotten their names. We were already planning on leaving no tip as our waitress never even came over to do anything except take our order and throw the check on the table. I take tipping very seriously, and I always tip servers well, so for me to feel this way I must assure you the service was abominable. This is the first time in my life I have NOT tipped. When the waitress dropped the check on the table we noticed it was just the ticket the kitchen gets for our food order with numbers scribbled on the back in pen along with 20% and a new total next to it. I think it's unprofessional to not show any of the tax amounts or a breakdown of the prices at your restaurant, and it seemed very shady to us what that 20% meant so my partner went to inquire with the hostess. They claimed that it was a mandatory 20% tip if you are a minor to which we responded, ""we are both 21"". They thought we were 17 years old. First of all, I'm not sure it's even legal for them to require minors to tip 20%. Second of all, the conclusion I came to is that either they thought we were 17 the whole time and purposefully gave us crappy service because they ""knew"" we'd be forced to tip them 20% anyways (so shady!), OR they knew their service was so crappy and we wouldn't leave a tip so they tried to trick us into thinking that was the total amount of the check (hence the scrawled pen on the back with no real indication of what the true prices were) and they thought we wouldn't be confident enough to go speak up for ourselves. I will also say that I went to use the bathroom after and returned the key to the front and heard our waitress and the hostess loudly gossiping about us. Very tasteless. I get complaining to your coworkers, I really do, but maybe wait until you have a private moment instead of whining loudly to the entire restaurant while the people you are complaining about are still in the vicinity. Either way, if you are looking for a nice spot for a date if you're in your teens or early twenties, do not come here because they will treat you very poorly. As well as if you have children don't come here because I personally would not support a business that believes that kind of model of service is okay.",1.0,0
"Born and bred local here. The ""diner"" used to actually be a traditional diner with traditional diner food. Sadly, it has become another restaurant which caters to the tourists, by adding avocado and arugula to at least 80% of the items on the menu. My co-worker and I received gift cards from someone for Christmas so we decided to give it a try as we hadn't been there in a long time. We tried to call there to place a to-go order two times allowing the phone to ring 20 times each time without an answer. We then decided to go there and eat. We were not greeted when we walked in and finally after asking about a table we were told it would be a 25 minute wait even though there we at least 5 open tables and only two couples waiting before us. We then decided to place a to-go order and wait for it. We asked if we could put the orders on separate checks as we had two separate gift cards. That seemed to be an inconvenience to the waitress who was incredibly rude. In the end, the food wasn't bad. But, the service was lacking. Unfortunately, I will not be going back there.",2.0,0
"Yum! This place did not disappoint. The food was great. I ordered the crab cake benedict. YummyMy friend had the grilled cheese which was made with local sourdough bread and another had an omelet which he said was good. We also ordered some duck wings that were incredibly tasty and the churro beignets are a must order.The service was decent. The waitress got one order wrong but apologized profusely. It's really loud in the place so that was prolly the reason she got it wrong. We also had a bit of a wait to get in, about 20 minutes. Finally the restroom is down the hall and they make you grab a key on a whisk. I held it with a napkin since I don't know how many germs is on that thing. If you're in Great Barrington I highly recommend this place.",5.0,1
Breakfast is great. Love that there is the option to have salad rather than home fries. Staff is always friendly and accommodating.,4.0,1
"After a long trip to the scenic area, we were hungry and stumbled upon this gem. The calamari was nice and crispy, while the roasted brussels sprouts with bacon killed! We got the GB burger, which was cooked to perfection and the bun was buttery, without signs of sogginess. Aside from that, they have an extensive breakfast menu. Prices were good too!",4.0,1
"The service was very attentive & helpful. Our food was delicious. I got the Brussels Sprout Salad & was very pleased with the dish. The menu was a bit on the smaller side which is fine when the food was this good. My only criticism was that on the menu there was a request to not alter any of the dishes. I understand that while this makes things more complicated for the cooks, that some people with allergies or whatnot wouldn't be comfortable. (I have a sensitivity to lemon & I had to request a different dressing for my own health & this note made me feel hesitant to do so. I would like to note that they made this alteration for me with no issue!) It is a bit loud in there, but honestly that is a good sign that business is doing great for them. I am also very glad that I got a hot chai latte on my way out, it was amazing!",4.0,1
"Staff was awesome. The food was out of this world and the coffee was piping hot. Really nice place. Try the breakfast croissant, it is amazing.",5.0,1
"We liked our breakfast here, didn't love it. There is nothing wrong with the food.  There are some creative options too, especially compared to other breakfast offerings in the area.  Everything was, just ok - nothing stands out though. Coffee was hot and strong.  Good for me - extra creamer and sugar needed for the rest of the table.  We didn't get any refills offered while we ate.  One person at the table got a custom Chai drink and liked it well enough. Eggs Benedict over potato pancakes were pretty good. Poached eggs were prepared well. Custom omelet was fine - eggs in the omelet were thin and dry - a bit over cooked.  Quinoa Pesto Bowl with poached eggs was under seasoned.  The quinoa wasn't hot and the whole dish needed a ton of salt and pepper. The pesto was nice but that was the only flavor.  Dish needed some texture too - it was all kinda mush.  We had the house made chicken sausage patty with the bowl.  The patty had good flavor but was super over cooked and dry.  Did ok with it if it was mixed up in the quinoa bowl. Ordered the $4 biscuit on the side.  It was pretty good - soft and flaky.  Came with a sweet homemade jam.  The individual packaged butters didn't have any flavor though. It was a busy spot on a Sunday but the staff managed the wait and crowd just fine.  Servers were friendly and efficient (minus coffee refills). The young women bussing tables was SUPER attentive. One strange thing - the check came with a total price written on the back but no itemized pricing.  We went with it and trusted the waitress but I found it really odd. In the end, a fine breakfast.  Wouldn't mind eating here again.",3.0,0
"We had to wait a little to get into this gem of a eatery and it was worth it!  We all had different things like breakfast and lunch items.  Hard to please everyone in my family and we all walked out with smiles and full bellies. The Eggs Benedict were good and the Berkshire Melt was amazing!If you're looking for a quiet atmosphere than this isn't your place and yet, we loved how it felt so alive with happy crowds around us.  The host was so friendly and wish I took note of her name as she's a great person to be the first person you interact with when your unsure if it's worth waiting.  It is!",5.0,1
"Stopped in while in Great Barrington. Was the best meal of my whole trip! A simple Cobb Salad with fresh cheese, vegetables, and chicken, top that with a homemade Maple Balsamic Vinaigrette! Great atmosphere and service! Hope to revisit in the future!",5.0,1
"Absolutely incredible. They were kid friendly, the food was DELICIOUS and so were the drinks. Service was perfect and seriously, the best pork schnitzel sandwich I have EVER had. 1000000/10.",5.0,1
"I wish I could give them 3 or 4 stars but I just can't and NOT because of the service, surprisingly. The food was substandard at best. I asked the server if the home fries were made to order and she said ""Yes, of course!"" I'm confident that they aren't. They are hard and crumbly and they actually snapped in my fingers when I broke 4 of them. The French toast was doughy, as though it was either battered too much or not cooked enough.The 3 egg omelette was... bland and flavorless. The absolute best part about my order was getting the check. It's sad because this place was recommended by someone who has run restaurants for decades and I'll have to let them know that I was disappointed. Now I'm off to find something to eat because I found this meal unappetizing",2.0,0
"They are understaffed, so the service is slow - but the food is tasty and the ambiance is comfortable.  The staff is kind and attentive, just a little overwhelmed!",4.0,1
Great food and really does a good job at accomplishing at what it's trying to be. I recommend. Solid .,5.0,1
"Great food, awesome staff. Fun place to eat. Brittany is the best server but they are all excellent",5.0,1
"My husband and I eat at GB eats every time we visit GB.  The service is tops and the food is so very good.  You do always have to wait, but it is well worth it.",5.0,1
"Servers were nice but the food was bad. My pancakes were still raw (legit batter oozing out of the middle). I only ordered the pancakes because the original dish I came here for, which actually is on the menu on their website but no longer on the menu in the restaurant, wasn't available without bacon. Served mentioned it won't be available at all in the next few days. I also got a side of an egg over hard and it was definitely not over hard. The yolk was still undercooked and oozing out so couldn't eat that either. I also ordered the chocolate chai with a shot of expresso and it tasted like milk with cocoa powder - no chai taste, no coffee taste, and no sweet chocolatey taste. The home fries were crispy but so so so bland. Not sure if it was a new cook in the kitchen or an off day, but can't recommend based on my experience. I told the server about the pancakes and didn't get charged for them which is nice all things considered, but I don't think the eggs or coffee were worth the money either.",1.0,0
"Great spot for an all day breakfast option. Breakfast is such an enjoyable meal it's nice to be able to have two in one day. GB Eats is a great spot. Delicious home fries, great toast and an excellent omelette. All priced reasonably. Five stars from this first time patron!",5.0,1
Tasty eggs Benedict. Kids loved pancakes. Waitress was great despite being very busy. She even thought of the small details like discreetly offering covers for the kids drinks. It was a fun atmosphere too with good music.,5.0,1
Ordered a crab cake sandwichIt was alright? The fries weren't really that good. I ordered it to go. The service was pretty fast and everyone was nice to me. The servers were really cool even though it was busy as hell in there,3.0,0
"This is a lively restaurant with a lot of character (and characters). The wait staff are all at the top of their game -- from relentless practice in this consistently busy spot. The menu presents a wide range for every taste, from Southwest-inspired items to Del-Mar-Va crabcakes, and every dish is crafted with a GB Eats spin. I have only good experiences here, and while the staff are hurried here, they have never been brusque nor rude. But the food . . . GB Eats has found the elusive balance of great flavors and creative combinations but without -- apparently -- the usual off-the-charts sodium. For a fun and fine dining experience in a pointedly casual atmosphere, this is the spot in Great Barrington.",4.0,1
"Good food.  Eclectic and trendy vibe, slightly crunchy.We've been here a few times now on our day trips to the Berkshires.  Good spot for brunch/lunch food.  Creative dishes prepared well.  We'll be back for the healthiest comfort food in the area!",4.0,1
"Excellent, kind, friendly, welcoming, and very accommodating staff. And the food was AMAZING!!",5.0,1
"Breakfast, lunch, dinner, plus breakfast all day makes this place one of the go-to's in Great Barrington! The croissant egg sandwich with home fries is 9 bucks which for an egg sandwich is expensive but trust me it's worth it. It's very big and the croissant is decadent and buttery, literally melts in your mouth. There's also tomatoes, arugula, avocado, cheese, and the best thick cut bacon I've had. In fact, it's so good we had to get a side of it! Also keep in mind they make the mixed drinks on the stronger side. The servers are all really nice as well and the indoor part is really nice. Can't wait to come back!",5.0,1
"If you're looking for a quick breakfast, lunch or dinner GB eats is a hit. Always delicious , staff is always friendly. Great selection of various foods including all day breakfast, salads, burgers, bowls, sandwiches and more !",5.0,1
Breakfast there was truly great. Has become a go to place for a hearty meal to start the day. Have never tried it for lunch ir dinner but its on the list.,4.0,1
They always accommodate my dietary/allergy restrictions no questions asked. Just really appreciate the ease of coming here! The food is so yummy and I love ordering from here.,5.0,1
Potatoe cake Benny. The best breakfast there is. And the bacon is thick cut and cooked to perfection.,5.0,1
"Good coffee, cute atmosphere, good Shakshuka (though I would have preferred it a little spicier), and excellent blueberry pancakes. My only real complaint is that the music was overly loud, so I had a hard time holding a conversation with my partner. I would happily go back if I were in town again.",4.0,1
Despite the long wait it was delicious! Staff very helpful and attentive. With 6 people we tried a variety and they were all great! Pork schnitzel sandwich great!!!,5.0,1
"I had high hopes for this place because it's gotten pretty decent reviews. The eggs were greasy & runny. The bacon was good. The sausage was dry, and really bad. Service was ok. A bit of an attitude. Mocha latte - really good. Chocolate Churro beignets were weird and not good. And, Pepsi? Ugh. I'll be back thought because I'm really hoping that my first experience was just a fluke.",2.0,0
Delicious lattes and hot chocolate. Freshly squeezed orange juice. Fabulous service and yummy food! Highly recommend,5.0,1
Great food. The services is fast and friendly. The ambiance can get loud at times only because the place is small but over all. The food is worth the visit !! They serve breakfast items all day.  They use local meats and produce which is huge in helping the community.,5.0,1
Delicious lunch - wonderful service - adorable walkable town! Food was great. We had butternut squash soup and the Brussels sprout salad. Definitely stop here if you're in the area,5.0,1
"One of my (and my family's) standard reliable choices for any meal, we can always find something we like, and same same for any college kid we have tagging along with our Simon's Rocker. We come in A LOT and it's consistently strong in quality, good taste, service, menu innovation, etc. Nice to have that consistency and reliability without the tired (and boring) comfort and predictability of the chains.",4.0,1
Very long wait for lunch but once seated fast and attentive service. Ultimate veggie sandwich was delicious. Good value and cute atmosphere for a quick breakfast or lunch.,4.0,1
"Very good breakfast.  Three egg omelet was fabulous, home fries very good, just like I like them.  45 minute wait for breakfast but we'll worth it.",5.0,1
"I've just hopped back on yelp after a 7-year hiatus in hopes of saving people the wait and sparing them from this *incredibly* over-rated place. I will tell you the truth: I didn't have high hopes for this place to begin with, but I was SHOCKED at how bad the food was. After resigning myself to waiting 20 minutes at the bequest of a somewhat curt hostess, my toddler and I sat down, expecting something decent. A sweet waitress took our order, and brought out fries quickly-ish (10 min) for my hungry daughter...Fries:   The fries were already pretty disappointing even though fries are pretty hard to mess up. Slightly stale, bland, dry, mealy texture. Next came our dishes -- the crab cake sandwich and the Salmon quinoa bowl. Salmon quinoa bowl: I sort of did a double take when it came out because the salmon-quinoa bowl just looked so....sad. It was a small portion, with yellowed and wilted arugula, flanked by a few meager pieces of avocado covered in big black and brown spots.  Nothing was seasoned. At all. Even the quinoa tasted like it had been sitting around. The salmon was fresh, thankfully. Crab-cake sandwich: Now onto my crab cake sandwich. I want to preface this by saying I have literally never had a crab cake I didn't like. I took one bite of this sandwich and gagged, having to spit it out. Something tasted wrong. off. Like an old sock. I don't know what made it taste this way -- the crab might have been fine. But the dish was not. I ended up sending this dish back, as well as requesting some avocado for my daughter that wasn't covered in brown spots (it was replaced by another avocado with more black spots). I decided to get the egg and black bean quinoa bowl to replace the dish I sent back. Egg-black bean-corn-quinoa bowl: Again, I was shocked by the meager, sad looking portion, and the extreme tastelessness of all ingredients. Sad black beans that seemed like the came directly from can to plate. Frozen tasteless corn. The saddest tasteless salsa, and completely unseasoned plain poached eggs. Service: Our waitress was sweet, and the manager took my food back. But she didn't seem all that pleased and certainly wasn't apologetic. However, because it was so crowded it was almost impossible to get anyone's attention. I tried calling after people as they ran away. I think I may have been unintentionally making faces of shock and disgust, so I don't blame them for somewhat avoiding our table after that. Long story short: This restaurant has a completely inexplicable following. It doesn't seem to make any effort at all due to its loyal client base -- I am so confused about why there is a wait!! I would recommend this restaurant seriously look at food quality, or that customers consider bringing their business to some of the other tasty options around Great Barrington: Bizen, Baba Louie's..pretty much anywhere but here.",1.0,0
We stopped for lunch. Eggs Benedict on potatoes were very good. My Classic Burger was cooked to order and great.Wait staff were friendly and cheerful though very busy,4.0,1
"Just had an incredible mealHuevos rancheros Breakfast served all dayHad for dinner, came with hash browns or greensI had the greens since it was dinnerBest I have ever eatenService was super fast and friendly",5.0,1
"Good food, service was friendly. Seating both inside and out. Breakfast all day. My friend got A waffle and an egg sandwich while my other friend got potato cake Benedict. I had the classic burger. All of our food was delicious. Service was good. It was quite busy and they had tables inside, in front and out back in the courtyard. Quite hectic but they did a good job.",4.0,1
"Food is too amazing, service is too fast, I feel like it should be illegal, oh and the drinks holy s*** so ya definitely 6 stars",5.0,1
GB Eats is a nice establishment on Main Street Great Barrington MA. Had two Cobb salads and two coffees. Service was very prompt and pleasant and food came promptly. Cobb salads were very good and price was reasonable,4.0,1
"Terrible experience, we came for brunch and asked for a bloody mary and the waitress said they didn't have any, only after we had finished eating the waitress came back to inform they had found the bloody mary mix. Very disappointing. I would not recommend nor come back ever. They should have better and more competent staff.",1.0,0
"Wow, this place was awesome, the food was delicious and ambitious and the atmosphere was clean and lively. It was a pretty busy weekend and we got there at 1, the wait was about a half hour, but it's right downtown and we walked around and looked at all the cool arty shops. The food was the best part.",5.0,1
"Loved it. The ambiance is great. They have benches and tables like a diner, but it's fancy. The COVID protocols with the menu on the wall was nice and indicated they were engaged in safety. The waitress was cool. She can sell a special ( or I was really hungry). The coffee bar is the best. They have a such a great selection. They even have boozy cocoa and coffee. Be careful, the adult cocoa could get you faded lol. The food was really good. The potatoes aren't that great to me. They were pretty bland. They give you salt pepper and ketchup though . They are a perfect mix of a hippy coffee bar and mom and pop diner. Give it a try. I'm sure you'll like it.",5.0,1
"GB Eats was our luckiest find on our second trip to the Berkshires. My husband and I originally tried getting a table at The Well. We literally stood in the middle of the restaurant waiting for someone to acknowledge our presence. We got so frustrated by the rude service that we just left. Hangry and PO'd, we started wandering Main Street looking for a place for fuel. Perhaps it was the magic of Christmas guiding us, but we stumbled upon GB Eats. Having just been ousted from the Inn (aka The Well), GB Eats became our saving manger.The staff at GB Eats is second-to-none. They're so friendly and make you feel like family. The service would have been enough to warrant a great review, but then comes the food. De. Lish. Probably the best diner food I've had in years. I can't think of a single aspect of this place that wasn't pure perfection. The next time we visit Great Barrington, we will DEF stop by GB Eats again.",5.0,1
So yummy! Me and my friend stopped here for lunch and were very impressed. She got the BLT and I got the avocado pesto sandwich. Both were delicious. The staff was super friendly and followed Covid procedures,5.0,1
Definitely found our new go to spot whenever we're in GB! Amazing food and friendly service!,5.0,1
"Went for brunch with my lady friends. Small place in a busy area, very quaint as my friend would say. Everything on the menu was delicious. From the healthy options (avocado, quinoa, seeds/nuts concoction) to the more guilty pleasures(poached eggs drenched in hollandaise with bacon), everything we ordered was delicious. Mimosa was around $10 but served in a ginormous glass but it was crisp, with the right amount of alcohol that no one was getting messy during brunch. There was a bit of a wait, maybe 20 minutes or so but nothing ridiculous. Space is small but staff is friendly and very efficient. Would definitely return if I were to return to the area!Street parking was tricky since it was a busy weekend (think it was Labor Day weekend?), metered parking.",5.0,1
"I love coming to great Barrington  because it's such a beautiful town. This is my go to for brunch/breakfast when I'm visiting from nyc. The croissant breakfast sandwich is SO good and the omelette are fresh and delicious. There is rarely ever a wait and my fiancé loves the coffee. Sometimes it's a big warm inside, but I could careless since the food is so delicious. Staff is friendly.",5.0,1
"Amazing spot! GB Eats serves breakfast all day, but their lunch/dinner menu is solid. They also serve beer and wine. And have a coffee/espresso bar. I had the roasted vegetable salad. But to be honest, I had a lot of trouble deciding what I wanted. Everything looked good: eggs benedict, bahn mi, pesto quinoa bowl, waffles, eggs, corned beef hash. The options go on, and there is something for everyone on this menu. The roasted vegetable salad was the best salad I've ever had. It had frisse greens, roasted parsnips, carrots, and brussel sprouts, feta, toasted pumpkin seeds, and it was perfectly dressed with a balsamic drizzle. It was light and crisp and so fresh. My husband had the burger with an egg and sweet potato fries. The sweet potato fries were amazing. My friend had the pesto avocado quinoa bowl topped with two poached eggs, which also looked so good. Everything was amazing and fresh. This place hit the spot after a long day before hitting the road to go home.",5.0,1
Excellent service. One of the more aesthetically pleasing and tasty Bloody Mary's in the area. Only had breakfast but the food is excellent. Would recommend the corn beef hash!,5.0,1
"Epic breakfast. My god, why do their eggs seem so different from everyone else's? Great morning sunlight as well. Only thing that could have made it nicer would have been if they let the breeze in from outside. I never understand places that are so excitable over covid masks but are hermetically sealed when they don't have to be.",5.0,1
"Great little spot for breakfast. Bit of a strange entry situation but don't let that deter you. The staff was friendly and accommodating on early Saturday morning. I like the fact that they offer alternatives to dairy like soy & almond milk. My almond milk cappuccino was awesome!  The coffee is of really good quality- strong but smooth. They serve Berkshire Mountain bakery breads; very high-quality and excellent flavor.  Solid variety of breakfast choices with modern takes on tradition as well as influences like Southern California or vegan options.  I had the French potato cake eggs Benedict, no Canadian bacon, avocado and sharp cheddar. The potato cakes were dreamy- buttery, creamy w a slight crunch. Everything cooked perfectly seasoned well and a nice portion.  They're thick cut bacon was a fan of my table but not the sausage so much.  The build your own omelette with smoked Gouda unfortunately was in chunks and never properly melted which wasn't so great & the omelet was overcooked. Cool background music. Great for families, locals, or if you're just up for the weekend. A few little minuses:   The restroom situation is strange- you need a key, leave the restaurant walk down the hall to this creepy dark awkward one stall bathroom.  Our server was a little flustered - we kept asking for water and it was not delivered until the check came. The booth seating is slightly uncomfortable.",4.0,1
"Had a great experience here for lunch during the Covid era. We came in with my family, a group of five, and while they didn't have seating right outside the restaurant, they did have a shared back patio with some other local restaurants, and you could order takeout and eat out there. This ended up working pretty well, although all of our food did subsequently end up coming in takeout containers. That being said, we were able to order drinks, appetizers, and entrées which were all hot and delicious when they came out. I had an omelette, which was pretty typical breakfast food. Some other members of our group had their crabcakes, which they raved about. I'll also make a blog for the sweet potato fries, which were surprisingly delicious. I'm knocking a star off for some logistical issues, including forgetting some condiments (notably the butter and jam that was supposed to come with the biscuits!) and having to go back and forth for utensils and water, but overall we had a good experience and will come back if in the area.",4.0,1
the crab cake po boy is probably the most delicious thing i have ever eaten!!! such a cute spot too,5.0,1
